DATAFLOW,LAST UPDATE,freq,unit,inet_spd,terrtypo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Austria,2019,13.8,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Austria,2020,36.9,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Austria,2021,45.4,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Austria,2022,54.8,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Austria,2023,65.1,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Austria,2024,69.3,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Belgium,2019,49.2,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Belgium,2020,49.4,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Belgium,2021,69,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Belgium,2022,78,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Belgium,2023,90.4,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Belgium,2024,93.5,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Bulgaria,2019,6.5,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Bulgaria,2020,8.6,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Bulgaria,2021,16.3,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Bulgaria,2022,21.4,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Bulgaria,2023,28.4,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Bulgaria,2024,31,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Switzerland,2019,40.3,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Switzerland,2020,62.9,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Switzerland,2021,63.7,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Switzerland,2022,65.6,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Switzerland,2023,68.3,,
ESTAT:ISOC_CBS(1.0),27/06/25 11:00:00,Annual,Percentage of households,More than 1 gigabit per second (Gbps),Total,Switzerland,2024,72.6,,
