DATAFLOW,LAST UPDATE,freq,indic_is,ind_type,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Albania,2018,1.93,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Albania,2019,1.85,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2004,6.01,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2005,6.70,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2006,8.66,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2007,9.59,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2008,9.28,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2009,9.53,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2010,10.76,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2011,9.28,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2012,9.67,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2013,8.24,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2014,9.94,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2015,11.35,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2016,9.92,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2017,8.40,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2018,7.63,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Austria,2019,7.97,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bosnia and Herzegovina,2018,4.44,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bosnia and Herzegovina,2019,4.65,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2005,4.93,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2006,5.61,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2007,6.82,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2008,7.61,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2009,10.91,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2010,11.55,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2011,12.34,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2012,12.18,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2013,11.86,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2014,13.32,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2015,12.97,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2016,10.47,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2017,11.08,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2018,11.50,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Belgium,2019,11.56,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2004,0.42,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2006,0.69,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2007,0.95,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2008,0.98,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2009,1.36,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2010,1.84,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2011,2.10,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2012,3.67,,
