DATAFLOW,LAST UPDATE,freq,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Albania,2018,83.64,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Albania,2019,85.45,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Albania,2020,87.15,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Albania,2021,90.87,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Albania,2022,98.44,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Albania,2023,97.72,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Albania,2024,98.15,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2013,80.86,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2014,80.99,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2015,82.42,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2016,85.09,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2017,88.79,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2018,88.78,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2019,89.91,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2020,90.40,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2021,95.00,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2022,93.15,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2023,94.98,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Austria,2024,94.96,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bosnia and Herzegovina,2018,69.19,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bosnia and Herzegovina,2019,72.03,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bosnia and Herzegovina,2020,72.84,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bosnia and Herzegovina,2021,75.49,,
ESTAT:TIN00134(1.0),27/05/25 11:00:00,Annual,Percentage of households,Total,Bosnia and Herzegovina,2023,81.55,,
